Player,height,weight,college,Year,Pos,Age,G,MP,PER,TS%,USG%,WS,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Don Carlson,183.0,77.0,University of Minnesota,1950.5,G-F,30.5,33.0,,,0.4011818181818182,,2.2727272727272734,,,0.3449545454545455,,0.3449545454545455,0.3449545454545455,0.6951818181818181,,68.22727272727273,,,,236.3181818181818
Bob Carpenter,196.0,90.0,East Texas State University,1950.75,F-C,32.75,44.5,,,0.4161629213483146,,2.8410112359550563,,,0.3320056179775281,,0.3320056179775281,0.3320056179775281,0.7916685393258427,,73.24157303370787,,,,384.84831460674155
Jake Carter,193.0,88.0,East Texas State University,1950.0,F-C,25.0,16.0,,,0.41816666666666663,,0.5104166666666666,,,0.3080833333333333,,0.3080833333333333,0.3080833333333333,0.6797708333333333,,18.166666666666668,,,,61.625
Al Cervi*,180.0,77.0,,1951.5,PG,33.5,50.5,575.5,,0.5326188118811881,,5.806930693069307,,,0.37086138613861386,,0.37086138613861386,0.37086138613861386,0.8375049504950495,,173.32673267326732,,,,419.46039603960395
John Chaney,190.0,83.0,Louisiana State University,1950.0,F-C,29.0,10.666666666666666,,,0.35531250000000003,,-0.08125,,,0.29175,,0.29175,0.29175,0.6906875,,14.375,,,,53.375
Leroy Chollet,188.0,86.0,Canisius College,1950.5,F,24.5,31.5,,,0.3443333333333334,,0.5444444444444445,,,0.29144444444444445,,0.29144444444444445,0.29144444444444445,0.6265555555555555,,31.444444444444443,,,,127.44444444444444
Bill Closs,196.0,88.0,Rice University,1951.0,SF,29.0,62.0,1120.0,,0.3807849462365591,,2.49247311827957,,,0.31460215053763446,,0.31460215053763446,0.31460215053763446,0.7160537634408602,,116.78494623655914,,,,564.2849462365591
Paul Cloyd,188.0,81.0,University of Wisconsin,1950.0,G-F,29.0,4.666666666666667,,,0.31757142857142856,,-0.09999999999999999,,,0.2564285714285714,,0.2564285714285714,0.2564285714285714,0.6410714285714285,,1.5,,,,14.571428571428571
Jack Coleman,201.0,88.0,University of Louisville,1954.3636363636363,PF,29.363636363636363,64.36363636363636,2135.222222222222,,0.44959180790960457,,5.065112994350281,,,0.41463841807909607,,0.41463841807909607,0.41463841807909607,0.6978545197740114,,189.78813559322035,,,,720.1398305084746
Bobby Cook,178.0,70.0,University of Wisconsin,1950.0,G-F,26.0,51.0,,,0.42,,1.9,,,0.358,,0.358,0.358,0.79,,158.0,,,,587.0
Ray Corley,183.0,81.0,Georgetown University,1951.2,G,23.2,27.2,65.0,,0.34567647058823536,,0.5102941176470589,,,0.2975294117647059,,0.2975294117647059,0.2975294117647059,0.5929264705882352,,71.0,,,,182.91176470588235
Jack Cotton,201.0,90.0,University of Wyoming,1950.0,F-C,25.0,54.0,,,0.343,,-1.5,,,0.292,,0.292,0.292,0.509,,65.0,,,,276.0
Dillard Crocker,193.0,92.0,Western Michigan University,1951.8,PF,26.8,38.0,585.5,,0.42249473684210526,,0.6605263157894739,,,0.3362421052631579,,0.3362421052631579,0.3362421052631579,0.6975105263157894,,64.93684210526315,,,,414.3421052631579
Chink Crossin,185.0,74.0,University of Pennsylvania,1950.0,G,26.0,64.0,,,0.363,,2.1,,,0.322,,0.322,0.322,0.782,,148.0,,,,449.0
Fran Curran,183.0,79.0,University of Notre Dame,1950.0,G,27.0,66.0,,,0.579,,6.6,,,0.417,,0.417,0.417,0.826,,71.0,,,,395.0
